Iteration: 1; Percent complete: 0.0%; Average loss: 8.9547
Iteration: 2; Percent complete: 0.1%; Average loss: 8.8909
Iteration: 3; Percent complete: 0.1%; Average loss: 8.8233
Iteration: 4; Percent complete: 0.1%; Average loss: 8.7333
Iteration: 5; Percent complete: 0.1%; Average loss: 8.5470
Iteration: 6; Percent complete: 0.1%; Average loss: 8.2269
Iteration: 7; Percent complete: 0.2%; Average loss: 7.6752
Iteration: 8; Percent complete: 0.2%; Average loss: 6.8895
Iteration: 9; Percent complete: 0.2%; Average loss: 6.8982
Iteration: 10; Percent complete: 0.2%; Average loss: 6.7699
Iteration: 11; Percent complete: 0.3%; Average loss: 6.8791
Iteration: 12; Percent complete: 0.3%; Average loss: 6.1077
Iteration: 13; Percent complete: 0.3%; Average loss: 5.8212
Iteration: 14; Percent complete: 0.4%; Average loss: 5.8183
Iteration: 15; Percent complete: 0.4%; Average loss: 5.9774
Iteration: 16; Percent complete: 0.4%; Average loss: 5.4244
Iteration: 17; Percent complete: 0.4%; Average loss: 5.5120
Iteration: 18; Percent complete: 0.4%; Average loss: 5.2490
Iteration: 19; Percent complete: 0.5%; Average loss: 5.2761
Iteration: 20; Percent complete: 0.5%; Average loss: 5.0597
Iteration: 21; Percent complete: 0.5%; Average loss: 4.9816
Iteration: 22; Percent complete: 0.5%; Average loss: 5.0894
Iteration: 23; Percent complete: 0.6%; Average loss: 4.9533
Iteration: 24; Percent complete: 0.6%; Average loss: 4.9600
Iteration: 25; Percent complete: 0.6%; Average loss: 5.1165
Iteration: 26; Percent complete: 0.7%; Average loss: 4.7743
Iteration: 27; Percent complete: 0.7%; Average loss: 4.9560
Iteration: 28; Percent complete: 0.7%; Average loss: 4.7498
Iteration: 29; Percent complete: 0.7%; Average loss: 4.7973
Iteration: 30; Percent complete: 0.8%; Average loss: 4.8835
Iteration: 31; Percent complete: 0.8%; Average loss: 4.9418
Iteration: 32; Percent complete: 0.8%; Average loss: 4.8123
Iteration: 33; Percent complete: 0.8%; Average loss: 4.6611
Iteration: 34; Percent complete: 0.9%; Average loss: 4.8642
Iteration: 35; Percent complete: 0.9%; Average loss: 4.7945
Iteration: 36; Percent complete: 0.9%; Average loss: 4.7831
Iteration: 37; Percent complete: 0.9%; Average loss: 4.9090
Iteration: 38; Percent complete: 0.9%; Average loss: 4.7575
Iteration: 39; Percent complete: 1.0%; Average loss: 4.7345
Iteration: 40; Percent complete: 1.0%; Average loss: 4.7031
Iteration: 41; Percent complete: 1.0%; Average loss: 4.6774
Iteration: 42; Percent complete: 1.1%; Average loss: 4.7108
Iteration: 43; Percent complete: 1.1%; Average loss: 4.4617
Iteration: 44; Percent complete: 1.1%; Average loss: 4.7092
Iteration: 45; Percent complete: 1.1%; Average loss: 4.5070
Iteration: 46; Percent complete: 1.1%; Average loss: 4.7918
Iteration: 47; Percent complete: 1.2%; Average loss: 4.5566
Iteration: 48; Percent complete: 1.2%; Average loss: 4.7231
Iteration: 49; Percent complete: 1.2%; Average loss: 4.8514
Iteration: 50; Percent complete: 1.2%; Average loss: 4.6759
Iteration: 51; Percent complete: 1.3%; Average loss: 4.8249
Iteration: 52; Percent complete: 1.3%; Average loss: 4.6226
Iteration: 53; Percent complete: 1.3%; Average loss: 4.6321
Iteration: 54; Percent complete: 1.4%; Average loss: 4.6834
Iteration: 55; Percent complete: 1.4%; Average loss: 4.7059
Iteration: 56; Percent complete: 1.4%; Average loss: 4.7421
Iteration: 57; Percent complete: 1.4%; Average loss: 4.7412
Iteration: 58; Percent complete: 1.5%; Average loss: 4.6091
Iteration: 59; Percent complete: 1.5%; Average loss: 4.5610
Iteration: 60; Percent complete: 1.5%; Average loss: 4.4094
Iteration: 61; Percent complete: 1.5%; Average loss: 4.6378
Iteration: 62; Percent complete: 1.6%; Average loss: 4.5701
Iteration: 63; Percent complete: 1.6%; Average loss: 4.5412
Iteration: 64; Percent complete: 1.6%; Average loss: 4.8245
Iteration: 65; Percent complete: 1.6%; Average loss: 4.6393
Iteration: 66; Percent complete: 1.7%; Average loss: 4.4621
Iteration: 67; Percent complete: 1.7%; Average loss: 4.6344
Iteration: 68; Percent complete: 1.7%; Average loss: 4.5586
Iteration: 69; Percent complete: 1.7%; Average loss: 4.6543
Iteration: 70; Percent complete: 1.8%; Average loss: 4.3965
Iteration: 71; Percent complete: 1.8%; Average loss: 4.8660
Iteration: 72; Percent complete: 1.8%; Average loss: 4.5339
Iteration: 73; Percent complete: 1.8%; Average loss: 4.5211
Iteration: 74; Percent complete: 1.8%; Average loss: 4.3762
Iteration: 75; Percent complete: 1.9%; Average loss: 4.4672
Iteration: 76; Percent complete: 1.9%; Average loss: 4.5354
Iteration: 77; Percent complete: 1.9%; Average loss: 4.6484
Iteration: 78; Percent complete: 1.9%; Average loss: 4.4448
Iteration: 79; Percent complete: 2.0%; Average loss: 4.4190
Iteration: 80; Percent complete: 2.0%; Average loss: 4.4495
Iteration: 81; Percent complete: 2.0%; Average loss: 4.4268
Iteration: 82; Percent complete: 2.1%; Average loss: 4.4582
Iteration: 83; Percent complete: 2.1%; Average loss: 4.6292
Iteration: 84; Percent complete: 2.1%; Average loss: 4.5723
Iteration: 85; Percent complete: 2.1%; Average loss: 4.8259
Iteration: 86; Percent complete: 2.1%; Average loss: 4.4422
Iteration: 87; Percent complete: 2.2%; Average loss: 4.4715
Iteration: 88; Percent complete: 2.2%; Average loss: 4.3970
Iteration: 89; Percent complete: 2.2%; Average loss: 4.4999
Iteration: 90; Percent complete: 2.2%; Average loss: 4.5932
Iteration: 91; Percent complete: 2.3%; Average loss: 4.3585
Iteration: 92; Percent complete: 2.3%; Average loss: 4.5379
Iteration: 93; Percent complete: 2.3%; Average loss: 4.5851
Iteration: 94; Percent complete: 2.4%; Average loss: 4.3572
